# sample_data_code: SD_HUM_PER-REG_TRAN_VEH_PASS_BULK_v002
# label: Bulk Personal/Regional Passenger Vehicle Listings
item	status	posted	ask_price	year	make	model	body_style	odometer_km	condition	cert	risk	cvu
344	FS	8d	6891	2008	Mazda	Mazda5	wagon	219392	good	-	medium	80
345	FS	9d	2925	2009	Volkswagen	Golf	van	226585	fair	Yes	medium	85
346	FS	10d	3099	2010	Subaru	Outback	suv	233778	unknown	-	medium	86
347	FS	11d	3274	2011	Nissan	Rogue	car	240971	excellent	-	medium	87
348	Watch	12d	3448	2012	Toyota	Sienna	truck	248164	good	-	medium	88
349	FS	13d	3622	2013	Honda	Odyssey	wagon	255357	fair	-	medium	89
350	FS	14d	3796	2014	Dodge	Grand Caravan	van	262550	unknown	Yes	medium	90
351	FS	15d	3971	2015	Ford	Transit Connect	suv	269743	excellent	-	medium	82
352	FS	16d	4145	2016	Chevrolet	Express	car	276936	good	-	high	73
353	FS	17d	4319	2017	GMC	Savana	truck	284129	fair	-	high	74
354	FS	18d	4493	2018	Hyundai	Elantra	wagon	291322	unknown	-	high	75
355	FS	19d	4667	2019	Kia	Sedona	van	298515	excellent	Yes	high	76
356	FS	20d	4842	2020	Mazda	Mazda5	suv	305708	good	-	high	77
357	FS	0d	5016	2021	Volkswagen	Golf	car	312901	fair	-	high	78
358	FS	1d	5190	2022	Subaru	Outback	truck	320094	unknown	-	high	79
359	FS	2d	5364	2023	Nissan	Rogue	wagon	327287	excellent	-	high	80
360	Watch	3d	3039	2004	Toyota	Sienna	van	334480	good	Yes	high	68
361	FS	4d	3213	2005	Honda	Odyssey	suv	341673	fair	-	high	69
362	FS	5d	8114	2006	Dodge	Grand Caravan	car	88866	unknown	-	low	82
363	FS	6d	8288	2007	Ford	Transit Connect	truck	96059	excellent	-	low	83
364	FS	7d	8463	2008	Chevrolet	Express	wagon	103252	good	-	low	84
365	FS	8d	8637	2009	GMC	Savana	van	110445	fair	Yes	low	85
366	FS	9d	8811	2010	Hyundai	Elantra	suv	117638	unknown	-	low	86
367	FS	10d	8985	2011	Kia	Sedona	car	124831	excellent	-	low	87
368	FS	11d	5020	2012	Mazda	Mazda5	truck	132024	good	-	low	91
369	FS	12d	5194	2013	Volkswagen	Golf	wagon	139217	fair	-	low	83
370	FS	13d	5368	2014	Subaru	Outback	van	146410	unknown	Yes	low	84
371	FS	14d	5542	2015	Nissan	Rogue	suv	153603	excellent	-	low	85
372	Watch	15d	5716	2016	Toyota	Sienna	car	160796	good	-	low	86
373	FS	16d	5891	2017	Honda	Odyssey	truck	167989	fair	-	low	87
374	FS	17d	6065	2018	Dodge	Grand Caravan	wagon	175182	unknown	-	low	88
375	FS	18d	6239	2019	Ford	Transit Connect	van	182375	excellent	Yes	low	89
376	FS	19d	6413	2020	Chevrolet	Express	suv	189568	good	-	low	90
377	FS	20d	6587	2021	GMC	Savana	car	196761	fair	-	medium	91
378	FS	0d	6762	2022	Hyundai	Elantra	truck	203954	unknown	-	medium	83
379	FS	1d	6936	2023	Kia	Sedona	wagon	211147	excellent	-	medium	85
380	FS	2d	4610	2004	Mazda	Mazda5	van	218340	good	Yes	medium	81
381	FS	3d	4784	2005	Volkswagen	Golf	suv	225533	fair	-	medium	82
382	FS	4d	4959	2006	Subaru	Outback	car	232726	unknown	-	medium	83
383	FS	5d	5133	2007	Nissan	Rogue	truck	239919	excellent	-	medium	84
384	Watch	6d	5307	2008	Toyota	Sienna	wagon	247112	good	-	medium	85
385	FS	7d	5481	2009	Honda	Odyssey	van	254305	fair	Yes	medium	86
386	FS	8d	5655	2010	Dodge	Grand Caravan	suv	261498	unknown	-	medium	87
387	FS	9d	5830	2011	Ford	Transit Connect	car	268691	excellent	-	medium	79
388	FS	10d	6004	2012	Chevrolet	Express	truck	275884	good	-	high	70
389	FS	11d	6178	2013	GMC	Savana	wagon	283077	fair	-	high	71
390	FS	12d	6352	2014	Hyundai	Elantra	van	290270	unknown	Yes	high	72
391	FS	13d	2387	2015	Kia	Sedona	suv	297463	excellent	-	high	77
392	FS	14d	2561	2016	Mazda	Mazda5	car	304656	good	-	high	78
393	FS	15d	2735	2017	Volkswagen	Golf	truck	311849	fair	-	high	79
394	FS	16d	2909	2018	Subaru	Outback	wagon	319042	unknown	-	high	80
395	FS	17d	3083	2019	Nissan	Rogue	van	326235	excellent	Yes	high	81
396	Watch	18d	3258	2020	Toyota	Sienna	suv	333428	good	-	high	73
397	FS	19d	3432	2021	Honda	Odyssey	car	340621	fair	-	high	74
398	FS	20d	8333	2022	Dodge	Grand Caravan	truck	87814	unknown	-	low	87
399	FS	0d	8508	2023	Ford	Transit Connect	wagon	95007	excellent	-	low	88
400	FS	1d	6182	2004	Chevrolet	Express	van	102200	good	Yes	low	84
401	FS	2d	6356	2005	GMC	Savana	suv	109393	fair	-	low	85
402	FS	3d	6530	2006	Hyundai	Elantra	car	116586	unknown	-	low	86
403	FS	4d	6704	2007	Kia	Sedona	truck	123779	excellent	-	low	87
404	FS	5d	6879	2008	Mazda	Mazda5	wagon	130972	good	-	low	88
405	FS	6d	7053	2009	Volkswagen	Golf	van	138165	fair	Yes	low	80
406	FS	7d	7227	2010	Subaru	Outback	suv	145358	unknown	-	low	81
407	FS	8d	7401	2011	Nissan	Rogue	car	152551	excellent	-	low	82
408	Watch	9d	7576	2012	Toyota	Sienna	truck	159744	good	-	low	83
409	FS	10d	7750	2013	Honda	Odyssey	wagon	166937	fair	-	low	84
410	FS	11d	7924	2014	Dodge	Grand Caravan	van	174130	unknown	Yes	low	86
411	FS	12d	8098	2015	Ford	Transit Connect	suv	181323	excellent	-	low	87
412	FS	13d	8272	2016	Chevrolet	Express	car	188516	good	-	low	88
413	FS	14d	8447	2017	GMC	Savana	truck	195709	fair	-	medium	89
414	FS	15d	4481	2018	Hyundai	Elantra	wagon	202902	unknown	-	medium	84
415	FS	16d	4655	2019	Kia	Sedona	van	210095	excellent	Yes	medium	85
416	FS	17d	4829	2020	Mazda	Mazda5	suv	217288	good	-	medium	86
417	FS	18d	5003	2021	Volkswagen	Golf	car	224481	fair	-	medium	87
418	FS	19d	5178	2022	Subaru	Outback	truck	231674	unknown	-	medium	88
419	FS	20d	5352	2023	Nissan	Rogue	wagon	238867	excellent	-	medium	89
420	Watch	0d	3026	2004	Toyota	Sienna	van	246060	good	Yes	medium	86
